etat,code,libelle,note
COMPTE_RESULTAT,RM,Frais financiers et charges assimilés,
COMPTE_RESULTAT,RN,Dotations  aux provisions et aux  dépréciations financières,
COMPTE_RESULTAT,XF,RESULTAT FINANCIER (Somme TK à RN),
COMPTE_RESULTAT,XG,RESULTAT DES ACTIVITES ORDINAIRES (XE+XF),
COMPTE_RESULTAT,TN,Produits des cessions d'immobilisations,
COMPTE_RESULTAT,TO,Autres produits HAO,
COMPTE_RESULTAT,RO,Valeurs comptables des cessions d'immobilisations,
COMPTE_RESULTAT,RP,Autres charges HAO,
COMPTE_RESULTAT,XH,RESULTAT HORS ACTIVITES ORDINAIRES (Somme TN à RP),
COMPTE_RESULTAT,RQ,Participation des travailleurs,
COMPTE_RESULTAT,RS,Impôts sur le résultat,
COMPTE_RESULTAT,XI,RESULTAT NET (XG+XH+RQ+RS),
TFT,Réf,LIBELLES,
TFT,ZA,Trésorerie nette au 1er janvier (Trésorerie actif N-1-Trésorerie passif N-1),
TFT,FA,Capacité d'Autofinancement Global (CAFG),
TFT,FB,- Actif circulant HAO (1),
TFT,FC,- Variation des stocks,
TFT,FD,- Variation des créances,
TFT,FE,+ Variation du passif circulant (1),
TFT,ZB,Flux de trésorerie provenant des activités opérationnelles (somme FA à FE),
TFT,FF,- Décaissements liés aux acquisitions d'immobilisations incorporelles,
TFT,FG,- Décaissements liés aux acquisitions d'immobilisations corporelles,
TFT,FH,- Décaissements liés aux acquisitions d'immobilisations financières,
TFT,FI,+  Encaissements liés aux cessions d'immobilisations incorporelles et corporelles,
TFT,FJ,+ Encaissements liés aux cessions d'immobilisations financières,
TFT,ZC,Flux de trésorerie provenant des opérations d'investissements (somme FF à FJ),
TFT,FK,+ Augmentation de capital par apports nouveaux,
TFT,FL,+ Subventions d'investissement reçues,
TFT,FM,- Prélèvements sur le capital,
TFT,FN,- Dividendes versés,
TFT,ZD,Flux de trésorerie provenant des capitaux propres (somme FK à FN),
TFT,FO,+ Emprunts,
TFT,FP,+ Autres dettes financières,
TFT,FQ,- Remboursements des emprunts et autres dettes financières,
TFT,ZE,Flux de trésorerie provenant des capitaux étrangers (somme FO à FQ),
TFT,ZF,Flux de trésorerie provenant des activités de financement (D+E),
